Event,Record,Athlete(s),Nation,Games,Date,Ref(s)
100 metres,9.63 ,Usain Bolt, Jamaica (JAM),2012 London,August 5 2012,[9]
200 metres,19.30 ,Usain Bolt, Jamaica (JAM),2008 Beijing,August 20 2008,[10]
400 metres,*43.03 ,Wayde van Niekerk, South Africa (RSA),2016 Rio de Janeiro,August 14 2016,[11]
800 metres,*1:40.91 ,David Rudisha, Kenya (KEN),2012 London,August 9 2012,[12]
1500 metres,3:28.32 ,Jakob Ingebrigtsen, Norway (NOR),2020 Tokyo,August 7 2021,[13]
5000 metres,12:57.82 ,Kenenisa Bekele, Ethiopia (ETH),2008 Beijing,August 23 2008,[14]
10000 metres,27:01.17 ,Kenenisa Bekele, Ethiopia (ETH),2008 Beijing,August 17 2008,[15]
Marathon,2:06:32 ,Samuel Wanjiru, Kenya (KEN),2008 Beijing,August 24 2008,[16]
110 metres hurdles,12.91 ,Liu Xiang, China (CHN),2004 Athens,August 27 2004,[17]
400 metres hurdles,*45.94 ,Karsten Warholm, Norway (NOR),2020 Tokyo,August 3 2021,[18]
3000 m steeplechase,8:03.28 ,Conseslus Kipruto, Kenya (KEN),2016 Rio de Janeiro,August 17 2016,[19]
4×100 m relay,*36.84 ,Nesta CarterMichael FraterYohan BlakeUsain Bolt, Jamaica (JAM),2012 London,August 11 2012,[20]
4×400 m relay,2:55.39 ,LaShawn MerrittAngelo TaylorDavid NevilleJeremy Wariner, United States (USA),2008 Beijing,August 23 2008,[21]
20 km walk,1:18:46 ,Chen Ding, China (CHN),2012 London,August 4 2012,[22]
50 km walk,3:36:53 ,Jared Tallent, Australia (AUS),2012 London,August 11 2012,[23]
High jump,2.39 m ,Charles Austin, United States (USA),1996 Atlanta,July 28 1996,[24]
Long jump,8.90 m ,Bob Beamon, United States (USA),1968 Mexico City,October 18 1968,[6]
Pole vault,6.03 m ,Thiago Braz, Brazil (BRA),2016 Rio de Janeiro,August 15 2016,[25]
Triple jump,18.09 m ,Kenny Harrison, United States (USA),1996 Atlanta,July 27 1996,[26]
Shot put,23.30 m ,Ryan Crouser, United States (USA),2020 Tokyo,August 5 2021,[27]
Discus throw,69.89 m ,Virgilijus Alekna, Lithuania (LTU),2004 Athens,August 23 2004,[28]
Hammer throw,84.80 m ,Sergey Litvinov, Soviet Union (URS),1988 Seoul,September 26 1988,[29]
Javelin throw,90.57 m ,Andreas Thorkildsen, Norway (NOR),2008 Beijing,August 23 2008,[30]
Decathlon,9018 pts ,Damian Warner, Canada (CAN),2020 Tokyo,August 5 2021,[31]
